,City,Price,Bedroom,Bathroom,Face,Road,Amenities,Unit,New_Area,Road_Width,Number of Amenities
1523,Kathmandu,4200000,0,0,East,20 Feet / Blacktopped,[''],Aana,11.0,20,1
1528,Kathmandu,57500000,4,6,South,20 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,7.0,20,8
1530,Kathmandu,175000,4,3,North,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,12.0,13,6
1535,Kathmandu,29000000,5,3,South West,15 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,15,6
1541,Kathmandu,400000,5,4,South West,16 Feet / Blacktopped,"[""'Balcony'"", "" 'Garden'"", "" 'Water Supply'"", "" 'TV Cable'"", "" 'Water Well'"", "" 'Lawn'"", "" 'Frontyard'"", "" 'Fencing'"", "" 'Wifi'"", "" 'Backyard'"", "" 'Modular Kitchen'"", "" 'Solar Water'"", "" 'Deck'"", "" 'Drainage'"", "" 'Water Tank'""]",Aana,25.0,16,15
1545,Kathmandu,4100000,0,0,West,15 Feet / Soil Stabilized,[''],Aana,10.0,15,1
1546,Kathmandu,51000000,0,0,South,15 Feet / Blacktopped,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,8.0,15,8
1553,Kathmandu,26500000,0,0,East,12 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.5,12,5
1554,Pokhara,36500000,0,0,East,20 Feet / Gravelled,"[""'Garage'"", "" 'Garden'"", "" 'Wifi'"", "" 'Water Supply'"", "" 'TV Cable'"", "" 'Solar Water'"", "" 'Water Well'"", "" 'Water Tank'"", "" 'Washing Machine'"", "" 'Balcony'"", "" 'Fencing'"", "" 'Backyard'"", "" 'Gym'"", "" 'Frontyard'"", "" 'Modular Kitchen'""]",Aana,6.5,20,15
1555,Kathmandu,41000000,0,0,East,12 Feet / Blacktopped,"[""'Balcony'"", "" 'Wifi'"", "" 'Fencing'"", "" 'Drainage'"", "" 'Solar Water'"", "" 'Washing Machine'"", "" 'Garden'"", "" 'Water Supply'"", "" 'TV Cable'"", "" 'Water Tank'""]",Aana,4.0,12,10
1559,Kathmandu,30000000,0,0,East,12 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,6.0,12,5
1561,Kathmandu,5500000,0,0,West,13 Feet,[''],Aana,8.0,13,1
1562,Bhaktapur,1700000,0,0,South,15 Feet / Soil Stabilized,[''],Aana,3.0,15,1
1565,Kathmandu,17500000,0,0,North East,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.5,13,5
1567,Kathmandu,20000000,0,0,South,13 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,13,6
1568,Kathmandu,2000000,0,0,South East,13 Feet,[''],Aana,10.0,13,1
1573,Kathmandu,15000000,2,1,South,11 Feet,"[""'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.0,11,4
1574,Kathmandu,25000000,6,3,North,11 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,3.3,11,7
1575,Kathmandu,70000000,13,0,South East,14 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,13.0,14,7
1576,Kathmandu,16500000,6,3,South,10 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.1,10,5
1577,Kathmandu,53000000,6,4,West,15 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,7.5,15,7
1578,Kathmandu,3200000,0,0,North,13 Feet / Paved,[''],Aana,5.5,13,1
1579,Kathmandu,5500000,0,0,North,20 Feet / Blacktopped,[''],Aana,7.0,20,1
1580,Kathmandu,3200000,0,0,South East,15 Feet / Soil Stabilized,[''],Aana,7.0,15,1
1581,Kathmandu,2550000,0,0,North,15 Feet / Soil Stabilized,[''],Aana,16.5,15,1
1582,Bhaktapur,1350000,0,0,West,13 Feet / Soil Stabilized,[''],Aana,3.2,13,1
1583,Kathmandu,3200000,0,0,West,6 Meter / Concrete,[''],Aana,2.2,6,1
1584,Kathmandu,43000000,6,5,South East,12 Feet / Gravelled,"[""'Garage'"", "" 'Backyard'"", "" 'Balcony'"", "" 'Frontyard'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'Swimming Pool'"", "" 'Washing Machine'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,8.0,12,13
1586,Kathmandu,250000000,0,0,East,20 Feet / Blacktopped,[''],Aana,4.0,20,1
1591,Lalitpur,3600000,0,0,South,12 Feet,[''],Aana,4.0,12,1
1593,Kathmandu,3600000,0,0,North,10 Feet / Gravelled,[''],Aana,13.0,10,1
1596,Kathmandu,33500000,0,0,East,20 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.0,20,5
1597,Kathmandu,32000000,9,4,East,10 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,5.0,10,7
1598,Kathmandu,14000000,0,0,East,10 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,2.5,10,5
1599,Kathmandu,35000000,10,3,North,16 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,16,6
1600,Lalitpur,25500000,4,4,North West,14 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,4.2,14,7
1601,Lalitpur,24000000,12,4,South East,0 Feet,"[""'Water Supply'"", "" 'Balcony'"", "" 'Water Well'"", "" 'Fencing'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'""]",Aana,4.0,0,7
1602,Pokhara,850000017,0,0,East,20 Feet,[''],Aana,5.2,20,1
1605,Kathmandu,1600000,0,0,East,20 Feet / Gravelled,[''],Aana,28.0,20,1
1606,Lalitpur,16500000,5,3,South,13 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.5,13,6
1608,Kathmandu,750000,0,0,West,13 Feet / Soil Stabilized,[''],Aana,4.0,13,1
1609,Lalitpur,1250000,0,0,North,20 Feet,[''],Ropani,80.0,20,1
1610,Kathmandu,25000000,0,0,West,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.0,13,5
1611,Kathmandu,31800000,10,0,East,14 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.1,14,6
1612,Kathmandu,2500000,0,0,South,15 Feet / Soil Stabilized,[''],Aana,9.0,15,1
1613,Kathmandu,27500000,0,0,North,13 Feet / Gravelled,[''],Aana,4.0,13,1
1616,Kathmandu,26000000,0,0,West,15 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.1,15,6
1618,Kathmandu,9500000,4,0,South,15 Feet / Soil Stabilized,"[""'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,15,4
1619,Kathmandu,15000000,0,0,West,13 Feet / Blacktopped,"[""'Garden'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.0,13,6
1622,Kathmandu,42500000,5,4,South West,20 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.5,20,6
1626,Kathmandu,60000000,0,0,East,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,9.0,13,5
1627,Kathmandu,40000000,0,0,West,20 Feet / Paved,[''],Aana,6.1,20,1
1629,Kathmandu,19000000,3,2,South West,24 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.1,24,6
1630,Kathmandu,7500000,0,0,East,18 Feet / Gravelled,[''],Aana,12.5,18,1
1631,Kathmandu,32500000,4,3,North West,16 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.5,16,6
1632,Lalitpur,44500000,5,5,North,16 Feet / Gravelled,[''],Aana,6.5,16,1
1633,Kathmandu,32000000,5,4,South,15 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,5.0,15,7
1634,Kathmandu,28500000,5,0,North East,12 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.1,12,5
1635,Kathmandu,26000000,5,3,East,12 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,4.3,12,7
1636,Kathmandu,2800000,0,0,West,15 Feet / Soil Stabilized,[''],Aana,18.0,15,1
1637,Kathmandu,9500000,4,2,West,15 Feet / Soil Stabilized,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.2,15,6
1638,Kathmandu,400000,0,0,East,0 Feet,[''],Aana,16.0,0,1
1639,Kathmandu,25000000,6,4,North,13 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.0,13,6
1640,Kathmandu,17500000,5,2,South,16 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,16,6
1644,Kathmandu,40000000,0,0,South,16 Feet / Blacktopped,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,20.0,16,8
1646,Kathmandu,6500000,3,1,West,10 Feet / Soil Stabilized,"[""'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,2.5,10,4
1647,Kathmandu,850000,0,0,South,13 Feet / Soil Stabilized,[''],Aana,4.3,13,1
1648,Kathmandu,1350000,0,0,East,14 Feet,"[""'Water Supply'""]",Aana,12.0,14,1
1649,Kathmandu,12500000,3,1,North East,13 Feet / Gravelled,[''],Aana,3.0,13,1
1652,Kathmandu,6000000,0,0,East,13 Feet,[''],Aana,4.5,13,1
1653,Kathmandu,70000000,7,5,East,12 Feet / Blacktopped,"[""'Lawn'"", "" 'Backyard'"", "" 'Balcony'"", "" 'Garden'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,15.0,12,7
1656,Lalitpur,14200000,2,1,East,20 Feet / Gravelled,[''],Aana,3.5,20,1
1662,Lalitpur,1400000,0,0,South,23 Feet,[''],Aana,7.0,23,1
1665,Kathmandu,30000000,0,0,South East,10 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,6.0,10,5
1666,Kathmandu,12800000,2,1,West,12 Feet / Gravelled,"[""'Water Supply'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Water Tank'""]",Aana,3.2,12,5
1667,Kathmandu,25000000,0,0,West,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.5,13,5
1668,Kathmandu,12500000,0,0,East,10 Feet,"[""'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.25,10,4
1669,Kathmandu,4500000,0,0,North West,15 Feet,[''],Aana,5.0,15,1
1670,Kathmandu,23000000,0,0,South,12 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,12,5
1671,Kathmandu,15000000,0,0,South East,20 Feet,"[""'Drainage'"", "" 'Water Tank'""]",Aana,2.0,20,2
1673,Kathmandu,25000000,0,0,South East,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,13,5
1674,Pokhara,2300000,0,0,South,15 Feet / Blacktopped,[''],Aana,5.0,15,1
1677,Kathmandu,39000000,9,4,East,11 Meter,"[""'Balcony'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'"", "" 'Water Well'""]",Aana,3.0,11,5
1681,Kathmandu,1650000,0,0,North,20 Feet / Soil Stabilized,[''],Aana,5.2,20,1
1682,Lalitpur,20500000,0,0,South,10 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,4.0,10,7
1683,Kathmandu,2100000,0,0,North,13 Feet / Soil Stabilized,[''],Aana,4.2,13,1
1684,Kathmandu,2100000,0,0,South,13 Feet / Gravelled,[''],Aana,4.0,13,1
1686,Kathmandu,1650000,0,0,South,13 Feet / Soil Stabilized,[''],Aana,4.0,13,1
1688,Kathmandu,16500000,9,3,South West,10 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,3.0,10,7
1689,Kathmandu,2100000,0,0,North,13 Feet / Soil Stabilized,[''],Aana,4.0,13,1
1690,Kathmandu,1600000,0,0,North,12 Feet / Gravelled,[''],Aana,4.0,12,1
1691,Lalitpur,600000,0,0,South East,15 Feet / Soil Stabilized,[''],Aana,37.0,15,1
1693,Pokhara,2500000,0,0,North,0 Feet,[''],Ropani,80.0,0,1
1694,Pokhara,650000,0,0,North,0 Feet,[''],Ropani,32.0,0,1
1695,Pokhara,12000000,0,0,North East,20 Feet / Gravelled,[''],Aana,20.0,20,1
1697,Lalitpur,42000000,6,5,South West,0 Feet / Blacktopped,"[""'Garage'"", "" 'Balcony'"", "" 'Garden'"", "" 'Water Supply'"", "" 'Water Well'"", "" 'Microwave'"", "" 'Water Tank'"", "" 'Solar Water'"", "" 'Fencing'"", "" 'Backyard'"", "" 'Frontyard'"", "" 'TV Cable'"", "" 'Washing Machine'"", "" 'Wifi'"", "" 'Drainage'""]",Aana,11.0,0,15
1699,Kathmandu,66000000,0,0,East,40 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,8.3,40,6
1700,Lalitpur,1850000,0,0,South,20 Feet / Soil Stabilized,[''],Aana,4.0,20,1
1702,Kathmandu,1200000,0,0,North East,20 Feet,[''],Aana,4.0,20,1
1703,Kathmandu,17000000,4,3,East,13 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,3.1,13,7
1704,Kathmandu,3500000,0,0,South East,20 Feet,[''],Aana,17.5,20,1
1705,Kathmandu,13000000,3,3,South,13 Feet / Blacktopped,[''],Aana,3.2,13,1
1706,Bhaktapur,1500000,0,0,South,20 Feet / Blacktopped,[''],Aana,5.5,20,1
1707,Kathmandu,700000,10,10,East,8 Meter,[''],Ropani,224.0,8,1
1708,Kathmandu,225000,4,4,West,13 Feet,[''],Ropani,32.0,13,1
1710,Bhaktapur,19500000,10,0,East,20 Feet / Soil Stabilized,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.5,20,6
1711,Kathmandu,2900000,0,0,South,10 Feet / Gravelled,[''],Aana,3.5,10,1
1713,Kathmandu,1600000,0,0,South,15 Feet / Soil Stabilized,[''],Aana,34.0,15,1
1714,Bhaktapur,1000000,0,0,North East,12 Feet / Soil Stabilized,[''],Aana,15.0,12,1
1715,Kathmandu,1100000,0,0,North,8 Feet / Soil Stabilized,[''],Aana,14.0,8,1
1717,Lalitpur,2250000,0,0,South,13 Feet / Soil Stabilized,[''],Aana,4.0,13,1
1721,Kathmandu,6500000,0,0,North,20 Feet / Blacktopped,[''],Aana,5.0,20,1
1722,Kathmandu,6700000,0,0,South West,12 Feet,[''],Aana,12.0,12,1
1723,Kathmandu,1000000,0,0,West,20 Feet,[''],Ropani,88.0,20,1
1724,Kathmandu,2500000,0,0,South West,13 Feet,[''],Aana,12.0,13,1
1725,Lalitpur,2600000,0,0,South,26 Feet,[''],Aana,12.0,26,1
1726,Lalitpur,250000,0,0,East,20 Feet,[''],Ropani,144.0,20,1
1727,Lalitpur,2600000,0,0,North,13 Feet / Soil Stabilized,[''],Aana,5.0,13,1
1728,Kathmandu,400000,0,0,South East,13 Feet,[''],Ropani,32.0,13,1
1729,Lalitpur,600000,0,0,East,20 Feet,[''],Ropani,64.0,20,1
1730,Kathmandu,65000000,5,6,North West,13 Feet,[''],Aana,12.0,13,1
1731,Kathmandu,28000000,6,4,South,13 Feet,[''],Aana,6.5,13,1
1734,Lalitpur,35000000,5,4,South,20 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.0,20,6
1735,Lalitpur,70000000,5,5,South West,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'"", "" 'Garage'"", "" 'Lawn'"", "" 'Fencing'"", "" 'Jacuzzi'"", "" 'Air Condition'"", "" 'Washing Machine'"", "" 'Frontyard'"", "" 'Garden'"", "" 'Microwave'"", "" 'Internet'"", "" 'Water Well'"", "" 'Intercom'"", "" 'Solar Water'"", "" 'Modular Kitchen'"", "" 'Deck'"", "" 'Electricity Backup'""]",Aana,10.0,13,21
1737,Kathmandu,80000000,6,7,South East,13 Feet,[''],Aana,14.75,13,1
1738,Lalitpur,22500000,7,4,South West,13 Feet,[''],Aana,3.3,13,1
1739,Lalitpur,60000000,5,5,South,20 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,10.0,20,6
1740,Pokhara,170000000,5,8,East,8 Meter,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Ropani,32.0,8,6
1742,Kathmandu,22700000,5,2,West,12 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.5,12,6
1743,Kathmandu,19800000,9,0,South East,12 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.5,12,6
1744,Kathmandu,33500000,7,3,East,14 Feet / Soil Stabilized,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,6.0,14,6
1747,Kathmandu,52500000,0,0,West,0 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,5.0,0,7
1749,Lalitpur,15100000,0,0,North,0 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.2,0,5
1750,Kathmandu,25000000,6,4,West,13 Feet / Soil Stabilized,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.5,13,6
1751,Kathmandu,17000000,4,4,North,0 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.1,0,6
1756,Kathmandu,22500000,0,0,North,0 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.5,0,6
1757,Kathmandu,34500000,10,0,South,6 Meter,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,4.2,6,7
1763,Kathmandu,2100000,0,0,North West,22 Feet,[''],Aana,6.0,22,1
1766,Kathmandu,4000000,0,0,South,20 Feet,[''],Aana,5.0,20,1
1783,Kathmandu,52500000,5,4,South,13 Feet / Gravelled,"[""'Balcony'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,15.0,13,9
1785,Kathmandu,2100000,0,0,South East,20 Feet,[''],Aana,3.0,20,1
1791,Kathmandu,150000,0,0,South East,0 Feet,"[""'Lawn'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Ropani,16.0,0,6
1794,Kathmandu,3400000,0,0,North,20 Feet,[''],Aana,7.0,20,1
1796,Kathmandu,20500000,7,5,South East,14 Feet / Gravelled,"[""'Balcony'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,5.0,14,8
1801,Kathmandu,31000000,8,3,South West,14 Feet / Gravelled,"[""'Balcony'"", "" 'Garden'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,4.0,14,6
1805,Bhaktapur,25500000,0,0,South West,10 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.0,10,5
1809,Kathmandu,380000,11,4,South East,12 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Ropani,16.0,12,7
1810,Lalitpur,250000,5,3,South,15 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,20.0,15,5
1812,Kathmandu,140000,5,4,South East,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Ropani,16.0,13,6
1814,Kathmandu,2400000,0,0,East,20 Feet / Gravelled,[''],Aana,6.0,20,1
1815,Lalitpur,40000000,4,2,East,20 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,8.0,20,6
1816,Kathmandu,3300000,0,0,South West,10 Feet / Concrete,[''],Aana,10.0,10,1
1817,Kathmandu,20000000,0,0,East,12 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,4.2,12,7
1822,Kathmandu,45000000,0,0,East,20 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,8.0,20,6
1824,Kathmandu,21500000,4,3,West,4 Meter / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,4,5
1825,Kathmandu,1200000,0,0,South East,13 Feet / Soil Stabilized,[''],Aana,11.0,13,1
1827,Kathmandu,600000,0,0,South East,20 Feet / Soil Stabilized,[''],Aana,42.0,20,1
1828,Lalitpur,150000,3,4,South West,0 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,8.0,0,6
1831,Kathmandu,3300000,0,0,South,20 Feet / Soil Stabilized,[''],Aana,4.0,20,1
1832,Kathmandu,150000,5,5,South East,15 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,7.0,15,6
1833,Lalitpur,1500000,0,0,South East,20 Feet / Gravelled,[''],Ropani,193.76,20,1
1834,Kathmandu,70000000,0,0,South,20 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Ropani,16.0,20,7
1836,Kathmandu,47500000,0,0,West,16 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,8.0,16,7
1837,Lalitpur,3500000,0,0,North,13 Feet / Blacktopped,[''],Aana,20.0,13,1
1838,Lalitpur,550000,6,6,South West,20 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'Gym'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Ropani,32.0,20,8
