,City,Price,Bedroom,Bathroom,Face,Road,Amenities,Unit,New_Area,Road_Width,Number of Amenities
1255,Lalitpur,350000,0,0,East,24 Feet / Gravelled,[''],Aana,27.0,24,1
1260,Kathmandu,32000000,0,0,South,12 Feet / Blacktopped,[''],Aana,6.0,12,1
1268,Kathmandu,11000000,0,0,West,10 Feet / Soil Stabilized,"[""'Balcony'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'"", "" 'Parking'"", "" 'Store Room'""]",Aana,3.0,10,9
1271,Kathmandu,17000000,6,3,South East,11 Feet,[''],Aana,4.1,11,1
1277,Kathmandu,4000000,0,0,South,10 Feet / Blacktopped,[''],Aana,1.0,10,1
1278,Kathmandu,2750000,0,0,South West,15 Feet / Blacktopped,[''],Aana,6.5,15,1
1284,Lalitpur,2500000,0,0,East,13 Feet / Gravelled,[''],Aana,4.0,13,1
1285,Lalitpur,200000,6,3,South,13 Feet / Paved,"[""'Balcony'"", "" 'Garden'"", "" 'Water Supply'"", "" 'Parking'""]",Aana,26.0,13,4
1286,Lalitpur,6000000,0,0,East,20 Feet / Gravelled,[''],Aana,8.0,20,1
1287,Kathmandu,1200000,0,0,West,20 Feet,[''],Aana,8.0,20,1
1289,Kathmandu,1500000,0,0,West,15 Feet / Soil Stabilized,[''],Aana,18.0,15,1
1291,Kathmandu,115000000,0,0,East,14 Feet / Blacktopped,[''],Ropani,32.0,14,1
1292,Kathmandu,28000000,0,0,South,15 Feet / Gravelled,[''],Aana,4.0,15,1
1293,Lalitpur,10000000,0,0,West,12 Feet / Soil Stabilized,[''],Aana,5.0,12,1
1294,Lalitpur,25000000,0,0,West,14 Feet / Gravelled,[''],Aana,8.0,14,1
1297,Kathmandu,24000000,6,6,North West,15 Feet / Blacktopped,[''],Aana,4.0,15,1
1298,Kathmandu,24000000,6,6,South East,14 Feet / Blacktopped,[''],Aana,4.0,14,1
1300,Lalitpur,5500000,0,0,West,10 Feet / Gravelled,[''],Aana,11.0,10,1
1303,Kathmandu,2500000,0,0,North,13 Feet / Gravelled,[''],Aana,4.0,13,1
1304,Lalitpur,12500000,0,0,East,13 Feet / Gravelled,[''],Aana,3.0,13,1
1306,Lalitpur,1000000,0,0,West,4 Feet / Soil Stabilized,[''],Aana,5.0,4,1
1307,Kathmandu,27500000,5,3,South,26 Feet / Gravelled,"[""'Balcony'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Well'"", "" 'Parking'"", "" 'Store Room'""]",Aana,4.0,26,10
1308,Kathmandu,24000000,0,0,South,15 Feet / Blacktopped,[''],Aana,4.0,15,1
1310,Kathmandu,24000000,11,3,North,13 Feet / Blacktopped,"[""'Balcony'"", "" 'Modular Kitchen'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Tank'"", "" 'Water Well'"", "" 'Parking'""]",Aana,4.0,13,7
1311,Kathmandu,1900000,0,0,South,13 Feet / Gravelled,[''],Aana,4.0,13,1
1312,Lalitpur,11500000,0,0,East,13 Feet,[''],Aana,33.0,13,1
1313,Kathmandu,24500000,7,4,West,12 Feet,"[""'Garden'""]",Aana,3.3,12,1
1316,Bhaktapur,250000,0,0,East,12 Feet / Blacktopped,[''],Aana,16.0,12,1
